department_name_raw,parent_department_display_name,section_display_name,department_display_name,mapping_status,mapping_source,mapping_note
児童相談所＊一時保護課,児童相談所,一時保護課,児童相談所 一時保護課,already_display,official_csv,公式CSVの正式親組織名を保持しPDFページ196とも照合
障福＊障害施策課,障害福祉部,障害施策課,障害福祉部 障害施策課,matched,official_pdf,内訳事業名・金額・budget_item_keyをPDFページ182～188・238で照合
障福＊障害地域生活課,障害福祉部,障害地域生活課,障害福祉部 障害地域生活課,matched,official_pdf,内訳事業名・金額・budget_item_keyをPDFページ182・184・187～189で照合
障福＊障害保健福祉課,障害福祉部,障害保健福祉課,障害福祉部 障害保健福祉課,matched,official_pdf,内訳事業名・金額・budget_item_keyをPDFページ184・187～189・202で照合
世センター＊健康づくり課,世田谷総合支所,健康づくり課,世田谷総合支所 健康づくり課,matched,official_pdf,内訳事業名・金額・budget_item_keyをPDFページ183・204・206で照合
世センター＊子家庭支援課,世田谷総合支所,子家庭支援課,世田谷総合支所 子家庭支援課,matched,official_pdf,内訳事業名・金額・budget_item_keyをPDFページ183で照合
世センター＊生活支援課,世田谷総合支所,生活支援課,世田谷総合支所 生活支援課,matched,official_pdf,内訳事業名・金額・budget_item_keyをPDFページ183で照合
世センター＊保健福祉課,世田谷総合支所,保健福祉課,世田谷総合支所 保健福祉課,matched,official_pdf,内訳事業名・金額・budget_item_keyをPDFページ183で照合
世支＊街づくり課,世田谷総合支所,街づくり課,世田谷総合支所 街づくり課,matched,official_pdf,内訳事業名・金額・budget_item_keyをPDFページ223・224で照合
世支＊地域振興課,世田谷総合支所,地域振興課,世田谷総合支所 地域振興課,matched,official_pdf,内訳事業名・金額・budget_item_keyをPDFページ163・167～170・172で照合
世保＊感染症対策課,世田谷保健所,感染症対策課,世田谷保健所 感染症対策課,matched,official_pdf,内訳事業名・金額・budget_item_keyをPDFページ206・207で照合
世保＊健康企画課,世田谷保健所,健康企画課,世田谷保健所 健康企画課,matched,official_pdf,内訳事業名・金額・budget_item_keyをPDFページ203～205・208・238・239で照合
世保＊健康推進課,世田谷保健所,健康推進課,世田谷保健所 健康推進課,matched,official_pdf,内訳事業名・金額・budget_item_keyをPDFページ204～207で照合
