revenue_detail_id,revenue_section_id,revenue_item_key,fiscal_year,account_code,account_name,kan_code,kan_name,kou_code,kou_name,moku_code,moku_name,setsu_code,setsu_name,saisetsu_code,saisetsu_name,department_display_name,source_funding_category_name,funding_nature,previous_amount_thousand_yen,current_amount_thousand_yen,diff_amount_thousand_yen,is_zero_amount,related_program_count,source_file,source_row_number
rd_2026_general_revenue_09_01_02_01_01_3065500000,rs_2026_general_revenue_09_01_02_01,2026_general_revenue_09_01_02,2026,general,一般会計,09,特別区交付金,01,特別区財政調整交付金,02,特別交付金,01,特別交付金,01,特別区財政調整特別交付金,政策経営部 財政課,一般財源,general,4000000,5000000,1000000,false,0,ippansainyu.csv,16908
rd_2026_general_revenue_10_01_01_01_01_3895140000,rs_2026_general_revenue_10_01_01_01,2026_general_revenue_10_01_01,2026,general,一般会計,10,交通安全対策特別交付金,01,交通安全対策特別交付金,01,交通安全対策特別交付金,01,交通安全対策特別交付金,01,交通安全対策特別交付金（交通反則金）,土木部 土木計画調整課,一般財源,general,80000,76000,-4000,false,0,ippansainyu.csv,18685
rd_2026_general_revenue_11_01_01_01_01_3645100000,rs_2026_general_revenue_11_01_01_01,2026_general_revenue_11_01_01,2026,general,一般会計,11,分担金及負担金,01,負担金,01,民生費負担金,01,老人福祉施設費,01,養護老人ホーム入所者負担金,高齢福祉部 高齢福祉課,負担金,specific,48487,50235,1748,false,1,ippansainyu.csv,17476
rd_2026_general_revenue_11_01_01_04_01_3665580000,rs_2026_general_revenue_11_01_01_04,2026_general_revenue_11_01_01,2026,general,一般会計,11,分担金及負担金,01,負担金,01,民生費負担金,04,保育所費,01,区立保育園入所者負担金,子ども・若者部 保育課,負担金,specific,491673,11767,-479906,false,1,ippansainyu.csv,18183
rd_2026_general_revenue_11_01_01_04_02_3665580000,rs_2026_general_revenue_11_01_01_04,2026_general_revenue_11_01_01,2026,general,一般会計,11,分担金及負担金,01,負担金,01,民生費負担金,04,保育所費,02,管外公立保育園入所者負担金,子ども・若者部 保育課,負担金,specific,1551,0,-1551,true,0,ippansainyu.csv,18184
rd_2026_general_revenue_11_01_01_04_03_3665580000,rs_2026_general_revenue_11_01_01_04,2026_general_revenue_11_01_01,2026,general,一般会計,11,分担金及負担金,01,負担金,01,民生費負担金,04,保育所費,03,私立保育所入所者負担金,子ども・若者部 保育課,負担金,specific,1782927,0,-1782927,true,0,ippansainyu.csv,18185
rd_2026_general_revenue_11_01_01_05_01_3665500000,rs_2026_general_revenue_11_01_01_05,2026_general_revenue_11_01_01,2026,general,一般会計,11,分担金及負担金,01,負担金,01,民生費負担金,05,児童保護費,01,入院助産入所者負担金,子ども・若者部 子ども家庭課,負担金,specific,732,732,0,false,1,ippansainyu.csv,18046
rd_2026_general_revenue_11_01_01_08_02_3665500000,rs_2026_general_revenue_11_01_01_08,2026_general_revenue_11_01_01,2026,general,一般会計,11,分担金及負担金,01,負担金,01,民生費負担金,08,母子生活支援施設費,02,私立母子生活支援施設入所者負担金,子ども・若者部 子ども家庭課,負担金,specific,239,226,-13,false,1,ippansainyu.csv,18047
rd_2026_general_revenue_11_01_01_08_04_3665500000,rs_2026_general_revenue_11_01_01_08,2026_general_revenue_11_01_01,2026,general,一般会計,11,分担金及負担金,01,負担金,01,民生費負担金,08,母子生活支援施設費,04,区立母子生活支援施設入所者負担金,子ども・若者部 子ども家庭課,負担金,specific,420,395,-25,false,1,ippansainyu.csv,18048
rd_2026_general_revenue_11_01_01_11_01_3665570000,rs_2026_general_revenue_11_01_01_11,2026_general_revenue_11_01_01,2026,general,一般会計,11,分担金及負担金,01,負担金,01,民生費負担金,11,児童養護施設退所者等住宅支援費,01,児童養護施設退所者等入居者負担金,子ども・若者部 児童相談支援課,負担金,specific,620,500,-120,false,1,ippansainyu.csv,18126
