revenue_section_id,revenue_item_key,fiscal_year,account_code,account_name,budget_side,kan_code,kan_name,kou_code,kou_name,moku_code,moku_name,setsu_code,setsu_name,previous_amount_thousand_yen,current_amount_thousand_yen,diff_amount_thousand_yen,allocated_amount_thousand_yen,unallocated_amount_thousand_yen,general_revenue_thousand_yen,specific_revenue_thousand_yen,special_account_revenue_thousand_yen,detail_count,validation_status,source_type
rs_2026_general_revenue_11_01_01_13,2026_general_revenue_11_01_01,2026,general,一般会計,revenue,11,分担金及負担金,01,負担金,01,民生費負担金,13,障害児入所施設費,699,960,261,960,0,0,960,0,1,ok,derived
rs_2026_general_revenue_11_01_01_14,2026_general_revenue_11_01_01,2026,general,一般会計,revenue,11,分担金及負担金,01,負担金,01,民生費負担金,14,措置費共同経理費,0,3596,3596,3596,0,0,3596,0,2,ok,derived
rs_2026_general_revenue_11_01_03_02,2026_general_revenue_11_01_03,2026,general,一般会計,revenue,11,分担金及負担金,01,負担金,03,土木費負担金,02,多摩川玉堤広場管理費,75859,85386,9527,85386,0,0,85386,0,1,ok,derived
rs_2026_general_revenue_11_01_03_06,2026_general_revenue_11_01_03,2026,general,一般会計,revenue,11,分担金及負担金,01,負担金,03,土木費負担金,06,無電柱化整備費,0,9725,9725,9725,0,0,9725,0,1,ok,derived
rs_2026_general_revenue_11_01_03_07,2026_general_revenue_11_01_03,2026,general,一般会計,revenue,11,分担金及負担金,01,負担金,03,土木費負担金,07,鉄道立体化調査費,8000,0,-8000,0,0,0,0,0,1,ok_zero_amount,derived
rs_2026_general_revenue_12_01_01_01,2026_general_revenue_12_01_01,2026,general,一般会計,revenue,12,使用料及手数料,01,使用料,01,総務使用料,01,区民会館,76843,121347,44504,121347,0,0,121347,0,2,ok,derived
rs_2026_general_revenue_12_01_01_02,2026_general_revenue_12_01_01,2026,general,一般会計,revenue,12,使用料及手数料,01,使用料,01,総務使用料,02,区民センター,68899,77435,8536,77435,0,0,77435,0,12,ok,derived
rs_2026_general_revenue_12_01_01_03,2026_general_revenue_12_01_01,2026,general,一般会計,revenue,12,使用料及手数料,01,使用料,01,総務使用料,03,食堂施設,923,924,1,924,0,0,924,0,2,ok,derived
rs_2026_general_revenue_12_01_01_05,2026_general_revenue_12_01_01,2026,general,一般会計,revenue,12,使用料及手数料,01,使用料,01,総務使用料,05,総務施設,19564,21780,2216,21780,0,0,21780,0,26,ok,derived
rs_2026_general_revenue_12_01_01_11,2026_general_revenue_12_01_01,2026,general,一般会計,revenue,12,使用料及手数料,01,使用料,01,総務使用料,11,地区会館,80286,93450,13164,93450,0,0,93450,0,5,ok,derived
rs_2026_general_revenue_12_01_01_12,2026_general_revenue_12_01_01,2026,general,一般会計,revenue,12,使用料及手数料,01,使用料,01,総務使用料,12,区民集会所,45411,52690,7279,52690,0,0,52690,0,5,ok,derived
rs_2026_general_revenue_12_01_01_13,2026_general_revenue_12_01_01,2026,general,一般会計,revenue,12,使用料及手数料,01,使用料,01,総務使用料,13,文化施設,14720,17610,2890,17610,0,0,17610,0,3,ok,derived
rs_2026_general_revenue_12_01_01_15,2026_general_revenue_12_01_01,2026,general,一般会計,revenue,12,使用料及手数料,01,使用料,01,総務使用料,15,区役所駐車場,5565,5381,-184,5381,0,0,5381,0,1,ok,derived
rs_2026_general_revenue_12_01_01_16,2026_general_revenue_12_01_01,2026,general,一般会計,revenue,12,使用料及手数料,01,使用料,01,総務使用料,16,スポーツ施設,22406,21346,-1060,21346,0,0,21346,0,1,ok,derived
rs_2026_general_revenue_12_01_01_17,2026_general_revenue_12_01_01,2026,general,一般会計,revenue,12,使用料及手数料,01,使用料,01,総務使用料,17,生涯現役施設,6943,7057,114,7057,0,0,7057,0,5,ok,derived
rs_2026_general_revenue_12_01_02_02,2026_general_revenue_12_01_02,2026,general,一般会計,revenue,12,使用料及手数料,01,使用料,02,民生使用料,02,民生施設,42293,44376,2083,44376,0,0,44376,0,26,ok,derived
rs_2026_general_revenue_12_01_02_03,2026_general_revenue_12_01_02,2026,general,一般会計,revenue,12,使用料及手数料,01,使用料,02,民生使用料,03,高齢者住宅,11060,8912,-2148,8912,0,0,8912,0,2,ok,derived
rs_2026_general_revenue_12_01_03_01,2026_general_revenue_12_01_03,2026,general,一般会計,revenue,12,使用料及手数料,01,使用料,03,衛生使用料,01,保健所,6569,6432,-137,6432,0,0,6432,0,13,ok,derived
rs_2026_general_revenue_12_01_03_02,2026_general_revenue_12_01_03,2026,general,一般会計,revenue,12,使用料及手数料,01,使用料,03,衛生使用料,02,保健センター,17101,17007,-94,17007,0,0,17007,0,3,ok,derived
rs_2026_general_revenue_12_01_03_03,2026_general_revenue_12_01_03,2026,general,一般会計,revenue,12,使用料及手数料,01,使用料,03,衛生使用料,03,衛生施設,136,272,136,272,0,0,272,0,1,ok,derived
rs_2026_general_revenue_12_01_04_03,2026_general_revenue_12_01_04,2026,general,一般会計,revenue,12,使用料及手数料,01,使用料,04,産業経済使用料,03,区民農園,11911,19565,7654,19565,0,0,19565,0,1,ok,derived
rs_2026_general_revenue_12_01_05_01,2026_general_revenue_12_01_05,2026,general,一般会計,revenue,12,使用料及手数料,01,使用料,05,土木使用料,01,道路占用,3760500,3747000,-13500,3747000,0,0,3747000,0,4,ok,derived
rs_2026_general_revenue_12_01_05_02,2026_general_revenue_12_01_05,2026,general,一般会計,revenue,12,使用料及手数料,01,使用料,05,土木使用料,02,公共物占用,16700,19000,2300,19000,0,0,19000,0,1,ok,derived
rs_2026_general_revenue_12_01_05_03,2026_general_revenue_12_01_05,2026,general,一般会計,revenue,12,使用料及手数料,01,使用料,05,土木使用料,03,土木施設,2153,3240,1087,3240,0,0,3240,0,4,ok,derived
rs_2026_general_revenue_12_01_05_05,2026_general_revenue_12_01_05,2026,general,一般会計,revenue,12,使用料及手数料,01,使用料,05,土木使用料,05,公園占用,47549,38237,-9312,38237,0,0,38237,0,2,ok,derived
rs_2026_general_revenue_12_01_05_06,2026_general_revenue_12_01_05,2026,general,一般会計,revenue,12,使用料及手数料,01,使用料,05,土木使用料,06,公園施設,140446,165744,25298,165744,0,0,165744,0,7,ok,derived
rs_2026_general_revenue_12_01_05_07,2026_general_revenue_12_01_05,2026,general,一般会計,revenue,12,使用料及手数料,01,使用料,05,土木使用料,07,公的住宅,639089,635431,-3658,635431,0,0,635431,0,5,ok,derived
rs_2026_general_revenue_12_01_06_01,2026_general_revenue_12_01_06,2026,general,一般会計,revenue,12,使用料及手数料,01,使用料,06,教育使用料,01,学校施設,9362,8187,-1175,8187,0,0,8187,0,3,ok,derived
rs_2026_general_revenue_12_01_06_02,2026_general_revenue_12_01_06,2026,general,一般会計,revenue,12,使用料及手数料,01,使用料,06,教育使用料,02,幼稚園,10817,4260,-6557,4260,0,0,4260,0,2,ok,derived
rs_2026_general_revenue_12_01_06_05,2026_general_revenue_12_01_06,2026,general,一般会計,revenue,12,使用料及手数料,01,使用料,06,教育使用料,05,教育施設,576184,571861,-4323,571861,0,0,571861,0,12,ok,derived
rs_2026_general_revenue_12_01_07_01,2026_general_revenue_12_01_07,2026,general,一般会計,revenue,12,使用料及手数料,01,使用料,07,環境使用料,01,清掃・リサイクル普及啓発施設,3537,3958,421,3958,0,0,3958,0,1,ok,derived
rs_2026_general_revenue_12_01_07_02,2026_general_revenue_12_01_07,2026,general,一般会計,revenue,12,使用料及手数料,01,使用料,07,環境使用料,02,清掃事務所,8,8,0,8,0,0,8,0,1,ok,derived
rs_2026_general_revenue_12_01_07_03,2026_general_revenue_12_01_07,2026,general,一般会計,revenue,12,使用料及手数料,01,使用料,07,環境使用料,03,清掃・リサイクル施設,69,72,3,72,0,0,72,0,2,ok,derived
rs_2026_general_revenue_12_01_07_04,2026_general_revenue_12_01_07,2026,general,一般会計,revenue,12,使用料及手数料,01,使用料,07,環境使用料,04,太陽光発電施設（三浦）,3,3,0,3,0,0,3,0,1,ok,derived
rs_2026_general_revenue_12_02_01_01,2026_general_revenue_12_02_01,2026,general,一般会計,revenue,12,使用料及手数料,02,手数料,01,総務手数料,01,証明閲覧,309834,286906,-22928,286906,0,0,286906,0,8,ok,derived
rs_2026_general_revenue_12_02_01_02,2026_general_revenue_12_02_01,2026,general,一般会計,revenue,12,使用料及手数料,02,手数料,01,総務手数料,02,システム登録,9300,18700,9400,18700,0,0,18700,0,1,ok,derived
rs_2026_general_revenue_12_02_02_01,2026_general_revenue_12_02_02,2026,general,一般会計,revenue,12,使用料及手数料,02,手数料,02,民生手数料,01,諸証明,5,7,2,7,0,0,7,0,2,ok,derived
rs_2026_general_revenue_12_02_03_01,2026_general_revenue_12_02_03,2026,general,一般会計,revenue,12,使用料及手数料,02,手数料,03,環境手数料,01,工場公害防止認可,64,64,0,64,0,0,64,0,2,ok,derived
rs_2026_general_revenue_12_02_03_03,2026_general_revenue_12_02_03,2026,general,一般会計,revenue,12,使用料及手数料,02,手数料,03,環境手数料,03,諸証明,1,1,0,1,0,0,1,0,1,ok,derived
rs_2026_general_revenue_12_02_03_04,2026_general_revenue_12_02_03,2026,general,一般会計,revenue,12,使用料及手数料,02,手数料,03,環境手数料,04,清掃等指導業務,1613,1183,-430,1183,0,0,1183,0,1,ok,derived
rs_2026_general_revenue_12_02_03_05,2026_general_revenue_12_02_03,2026,general,一般会計,revenue,12,使用料及手数料,02,手数料,03,環境手数料,05,有料ごみ処理券,742162,554444,-187718,554444,0,0,554444,0,1,ok,derived
rs_2026_general_revenue_12_02_03_06,2026_general_revenue_12_02_03,2026,general,一般会計,revenue,12,使用料及手数料,02,手数料,03,環境手数料,06,動物死体処理,930,930,0,930,0,0,930,0,1,ok,derived
rs_2026_general_revenue_12_02_03_07,2026_general_revenue_12_02_03,2026,general,一般会計,revenue,12,使用料及手数料,02,手数料,03,環境手数料,07,廃棄物処理,1,1,0,1,0,0,1,0,2,ok,derived
rs_2026_general_revenue_12_02_03_08,2026_general_revenue_12_02_03,2026,general,一般会計,revenue,12,使用料及手数料,02,手数料,03,環境手数料,08,粗大ごみ処理,49454,202302,152848,202302,0,0,202302,0,1,ok,derived
rs_2026_general_revenue_12_02_04_01,2026_general_revenue_12_02_04,2026,general,一般会計,revenue,12,使用料及手数料,02,手数料,04,衛生手数料,01,証明閲覧,121,124,3,124,0,0,124,0,5,ok,derived
