revenue_detail_id,revenue_section_id,revenue_item_key,fiscal_year,account_code,account_name,budget_side,kan_code,kan_name,kou_code,kou_name,moku_code,moku_name,setsu_code,setsu_name,saisetsu_code,saisetsu_name,department_code,department_name,source_revenue_number,source_revenue_number_name,source_funding_category_code,source_funding_category_name,funding_nature,previous_amount_thousand_yen,requested_amount_thousand_yen,estimated_amount_thousand_yen,current_amount_thousand_yen,allocated_amount_thousand_yen,unallocated_amount_thousand_yen,request_content,assessment_content,is_zero_amount,source_type,source_file,source_row_number
rd_2026_general_revenue_05_01_01_01_01_3355400000,rs_2026_general_revenue_05_01_01_01,2026_general_revenue_05_01_01,2026,general,一般会計,revenue,05,株式等譲渡所得割交付金,01,株式等譲渡所得割交付金,01,株式等譲渡所得割交付金,01,株式等譲渡所得割交付金,01,株式等譲渡所得割交付金,3355400000,財務部＊納税課,1708,株式等譲渡所得割交付金株式等譲渡所得割交付金株式等譲渡所得割交付金,99,一般財源,general,4921000,4921000,8074000,8074000,0,8074000,,,false,official_csv,ippansainyu.csv,17001
rd_2026_general_revenue_06_01_01_01_01_3355400000,rs_2026_general_revenue_06_01_01_01,2026_general_revenue_06_01_01,2026,general,一般会計,revenue,06,地方消費税交付金,01,地方消費税交付金,01,地方消費税交付金,01,地方消費税交付金,01,地方消費税交付金,3355400000,財務部＊納税課,1206,地方消費税交付金地方消費税交付金地方消費税交付金,99,一般財源,general,23946000,25942000,27048000,27048000,0,27048000,,,false,official_csv,ippansainyu.csv,17002
rd_2026_general_revenue_08_01_01_01_01_3065500000,rs_2026_general_revenue_08_01_01_01,2026_general_revenue_08_01_01,2026,general,一般会計,revenue,08,地方特例交付金,01,地方特例交付金,01,地方特例交付金,01,地方特例交付金,01,地方特例交付金,3065500000,政策＊財政課,1207,地方特例交付金地方特例交付金地方特例交付金,99,一般財源,general,343000,343000,847000,847000,0,847000,,,false,official_csv,ippansainyu.csv,16906
rd_2026_general_revenue_09_01_01_01_01_3065500000,rs_2026_general_revenue_09_01_01_01,2026_general_revenue_09_01_01,2026,general,一般会計,revenue,09,特別区交付金,01,特別区財政調整交付金,01,普通交付金,01,普通交付金,01,特別区財政調整普通交付金,3065500000,政策＊財政課,13,特別区財政調整交付金普通交付金特別区財政調整普通交付金,99,一般財源,general,68505000,69087000,69191707,69191707,0,69191707,,,false,official_csv,ippansainyu.csv,16907
rd_2026_general_revenue_09_01_02_01_01_3065500000,rs_2026_general_revenue_09_01_02_01,2026_general_revenue_09_01_02,2026,general,一般会計,revenue,09,特別区交付金,01,特別区財政調整交付金,02,特別交付金,01,特別交付金,01,特別区財政調整特別交付金,3065500000,政策＊財政課,14,特別区財政調整交付金特別交付金特別区財政調整特別交付金,99,一般財源,general,4000000,4000000,5000000,5000000,0,5000000,,,false,official_csv,ippansainyu.csv,16908
rd_2026_general_revenue_10_01_01_01_01_3895140000,rs_2026_general_revenue_10_01_01_01,2026_general_revenue_10_01_01,2026,general,一般会計,revenue,10,交通安全対策特別交付金,01,交通安全対策特別交付金,01,交通安全対策特別交付金,01,交通安全対策特別交付金,01,交通安全対策特別交付金（交通反則金）,3895140000,土＊土木計画調整課,12,交通安全対策特別交付金交通安全対策特別交付金交通安全対策特別交付金,99,一般財源,general,80000,80000,76000,76000,0,76000,,,false,official_csv,ippansainyu.csv,18685
rd_2026_general_revenue_11_01_01_01_01_3645100000,rs_2026_general_revenue_11_01_01_01,2026_general_revenue_11_01_01,2026,general,一般会計,revenue,11,分担金及負担金,01,負担金,01,民生費負担金,01,老人福祉施設費,01,養護老人ホーム入所者負担金,3645100000,高福＊高齢福祉課,15,負担金老人福祉施設費養護老人ホーム入所者負担金,6,負担金,specific,48487,50235,50235,50235,50235,0,,,false,official_csv,ippansainyu.csv,17476
rd_2026_general_revenue_11_01_01_04_01_3665580000,rs_2026_general_revenue_11_01_01_04,2026_general_revenue_11_01_01,2026,general,一般会計,revenue,11,分担金及負担金,01,負担金,01,民生費負担金,04,保育所費,01,区立保育園入所者負担金,3665580000,子若＊保育課,16,負担金保育所費区立保育園入所者負担金,6,負担金,specific,491673,11767,11767,11767,11767,0,,,false,official_csv,ippansainyu.csv,18183
rd_2026_general_revenue_11_01_01_04_02_3665580000,rs_2026_general_revenue_11_01_01_04,2026_general_revenue_11_01_01,2026,general,一般会計,revenue,11,分担金及負担金,01,負担金,01,民生費負担金,04,保育所費,02,管外公立保育園入所者負担金,3665580000,子若＊保育課,17,負担金保育所費管外公立保育園入所者負担金,6,負担金,specific,1551,0,0,0,0,0,,,true,official_csv,ippansainyu.csv,18184
rd_2026_general_revenue_11_01_01_04_03_3665580000,rs_2026_general_revenue_11_01_01_04,2026_general_revenue_11_01_01,2026,general,一般会計,revenue,11,分担金及負担金,01,負担金,01,民生費負担金,04,保育所費,03,私立保育所入所者負担金,3665580000,子若＊保育課,18,負担金保育所費私立保育所入所者負担金,6,負担金,specific,1782927,0,0,0,0,0,,,true,official_csv,ippansainyu.csv,18185
