年度,当初補正区分,当初補正区分名称,事業区分,事業区分名称,所属,所属名称,事業番号,事業番号名称,会計,会計名称,款,款名称,項,項名称,目,目名称,大事業,大事業名称,予算事業,予算事業名称,内訳事業,内訳事業名称,前々年度決算額,予算前額,予算要求額,予算見積額,現計予算額,充当前額,充当要求額,充当額,現計充当額,一般財源前額,要求一般財源額,一般財源額,一般財源現計額,要求額対見積額,前年度対要求額,前年度対見積額,要求内容,補正内容,査定内容,行財政改善大区分,行財政改善大区分名称,行財政改善中区分,行財政改善中区分名称,行財政改善小区分,行財政改善小区分名称,重点事業区分,重点事業区分名称,実施計画大区分,実施計画大区分名称,実施計画中区分,実施計画中区分名称,実施計画小区分,実施計画小区分名称,実施計画細区分,実施計画細区分名称,普通会計区分,普通会計区分名称,行政評価結果,行政評価結果名称,要求枠区分,要求枠区分名称,要求基準,要求基準額,要求基準一般財源,予備区分１,予備区分１名称,予備区分２,予備区分２名称,予備区分３,予備区分３名称,予備区分４,予備区分４名称,予備区分５,予備区分５名称,予備区分６,予備区分６名称,予備区分７,予備区分７名称,予備区分８,予備区分８名称,査定区分,要求（予算額）,一次（予算額）,二次（予算額）,三次（予算額）,四次（予算額）,五次（予算額）,六次（予算額）,事業別性質別区分,事業別性質別区分名称,政策要求額,臨時要求額,政策査定額,臨時査定額
2024,0,当初,1,一次経費,2135100000,世支＊地域振興課,2108,ふるさとまつり協賛（世田谷）,1,一般会計,2,総務費,3,区民費,1,区民総務費,3,ふるさとまつり運営協力費,3,ふるさとまつり協賛（世田谷）,1,ふるさとまつり協賛（世田谷）,0,6974,6900,"6,900",6900,0,0,0,0,6974,6900,6900,6900,0,-74,-74,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,2,0,0,0,0,0,0,0,1,行政運営費,0,0,0,0
2024,0,当初,1,一次経費,2135100000,世支＊地域振興課,2123,世田谷総合支所庶務事務,1,一般会計,2,総務費,3,区民費,2,支所費,1,総合支所維持運営費,1,世田谷総合支所庶務事務,1,世田谷総合支所庶務事務,0,5734,5694,"5,694",5694,0,0,0,0,5734,5694,5694,5694,0,-40,-40,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,1,5694,0,0,0,0,0,0,1,行政運営費,0,0,0,0
2024,0,当初,1,一次経費,2135100000,世支＊地域振興課,2128,計画・相談事業運営（世田谷）,1,一般会計,2,総務費,3,区民費,2,支所費,1,総合支所維持運営費,6,計画・相談事業運営（世田谷）,1,計画・相談事業運営（世田谷）,0,13152,9285,"14,385",14385,0,0,0,0,13152,9285,14385,14385,5100,-3867,1233,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,2,0,0,0,0,0,0,0,1,行政運営費,0,0,0,0
2024,0,当初,1,一次経費,2135100000,世支＊地域振興課,2139,世田谷地域出張所維持運営,1,一般会計,2,総務費,3,区民費,2,支所費,2,出張所維持運営費,1,世田谷地域出張所維持運営,1,世田谷地域出張所維持運営,0,206757,212524,"219,136",219136,5438,6768,6768,6768,201319,205756,212368,212368,6612,5767,12379,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,2,0,0,0,0,0,0,0,1,行政運営費,0,0,0,0
2024,0,当初,1,一次経費,2135100000,世支＊地域振興課,2356,世田谷総合支所・出張所改築工事,1,一般会計,2,総務費,3,区民費,2,支所費,8,総合支所・出張所改築費,2,世田谷総合支所・出張所改築工事,1,世田谷総合支所・出張所改築工事,0,25900,0,0,0,0,0,0,0,25900,0,0,0,0,-25900,-25900,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,2,投資的経費,0,0,0,0
2024,0,当初,1,一次経費,2135100000,世支＊地域振興課,2151,世田谷区民会館維持運営,1,一般会計,2,総務費,3,区民費,6,区民施設費,1,区民施設維持運営費,1,世田谷区民会館維持運営,1,世田谷区民会館維持運営,0,304928,0,0,0,11879,0,0,0,293049,0,0,0,0,-304928,-304928,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,1,行政運営費,0,0,0,0
2024,0,当初,1,一次経費,2135100000,世支＊地域振興課,2152,世田谷地域生涯学習事務,1,一般会計,2,総務費,3,区民費,6,区民施設費,1,区民施設維持運営費,2,世田谷地域生涯学習事務,1,世田谷地域生涯学習事務,0,1233,1282,"1,282",1282,0,0,0,0,1233,1282,1282,1282,0,49,49,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,1,1282,0,0,0,0,0,0,1,行政運営費,0,0,0,0
2024,0,当初,1,一次経費,2135100000,世支＊地域振興課,2153,世田谷地域区民センター事業委託,1,一般会計,2,総務費,3,区民費,6,区民施設費,1,区民施設維持運営費,3,世田谷地域区民センター事業委託,1,世田谷地域区民センター事業委託,0,5116,6216,"6,716",6716,0,0,0,0,5116,6216,6716,6716,500,1100,1600,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,2,0,0,0,0,0,0,0,1,行政運営費,0,0,0,0
2024,0,当初,1,一次経費,2135100000,世支＊地域振興課,2154,太子堂区民センター維持運営,1,一般会計,2,総務費,3,区民費,6,区民施設費,1,区民施設維持運営費,4,太子堂区民センター維持運営,1,太子堂区民センター維持運営,0,63748,64107,"66,832",66832,5343,5399,5399,5399,58405,58708,61433,61433,2725,359,3084,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,2,0,0,0,0,0,0,0,1,行政運営費,0,0,0,0
2024,0,当初,1,一次経費,2135100000,世支＊地域振興課,2155,弦巻区民センター維持運営,1,一般会計,2,総務費,3,区民費,6,区民施設費,1,区民施設維持運営費,5,弦巻区民センター維持運営,1,弦巻区民センター維持運営,0,73773,98129,"102,770",102770,9378,9446,9446,9446,64395,88683,93324,93324,4641,24356,28997,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,2,0,0,0,0,0,0,0,1,行政運営費,0,0,0,0
