revenue_item_key,fiscal_year,account_code,account_name,budget_side,kan_code,kan_name,kou_code,kou_name,moku_code,moku_name,previous_amount_thousand_yen,current_amount_thousand_yen,diff_amount_thousand_yen,allocated_amount_thousand_yen,unallocated_amount_thousand_yen,general_revenue_thousand_yen,specific_revenue_thousand_yen,special_account_revenue_thousand_yen,section_count,detail_count,validation_status,source_type
2026_long_term_care_insurance_revenue_45_03_02,2026,long_term_care_insurance,介護保険事業会計,revenue,45,都支出金,03,都補助金,02,地域支援事業交付金（包括的支援事業・任意事業）,91149,88968,-2181,88968,0,0,0,88968,1,10,ok,derived
2026_long_term_care_insurance_revenue_45_03_08,2026,long_term_care_insurance,介護保険事業会計,revenue,45,都支出金,03,都補助金,08,地域支援事業交付金（介護予防・日常生活支援総合事業）,217013,221128,4115,221128,0,0,0,221128,1,4,ok,derived
2026_long_term_care_insurance_revenue_46_01_02,2026,long_term_care_insurance,介護保険事業会計,revenue,46,財産収入,01,財産運用収入,02,利子及配当金,34640,65792,31152,65792,0,0,0,65792,1,1,ok,derived
2026_long_term_care_insurance_revenue_48_01_01,2026,long_term_care_insurance,介護保険事業会計,revenue,48,繰入金,01,一般会計繰入金,01,介護給付費繰入金,8809393,8984135,174742,8984135,0,0,0,8984135,1,19,ok,derived
2026_long_term_care_insurance_revenue_48_01_02,2026,long_term_care_insurance,介護保険事業会計,revenue,48,繰入金,01,一般会計繰入金,02,その他一般会計繰入金,1490487,1768080,277593,1768080,0,0,0,1768080,3,6,ok,derived
2026_long_term_care_insurance_revenue_48_01_04,2026,long_term_care_insurance,介護保険事業会計,revenue,48,繰入金,01,一般会計繰入金,04,地域支援事業繰入金（包括的支援・任意事業）,91149,88968,-2181,88968,0,0,0,88968,1,10,ok,derived
2026_long_term_care_insurance_revenue_48_01_05,2026,long_term_care_insurance,介護保険事業会計,revenue,48,繰入金,01,一般会計繰入金,05,地域支援事業繰入金（介護予防・日常生活支援総合事業）,217013,221128,4115,221128,0,0,0,221128,1,4,ok,derived
2026_long_term_care_insurance_revenue_48_01_06,2026,long_term_care_insurance,介護保険事業会計,revenue,48,繰入金,01,一般会計繰入金,06,低所得者保険料軽減繰入金,555088,532902,-22186,532902,0,0,0,532902,1,1,ok,derived
2026_long_term_care_insurance_revenue_48_02_01,2026,long_term_care_insurance,介護保険事業会計,revenue,48,繰入金,02,基金繰入金,01,介護給付費準備基金繰入金,2369832,2776668,406836,2776668,0,0,0,2776668,1,1,ok,derived
2026_long_term_care_insurance_revenue_49_01_01,2026,long_term_care_insurance,介護保険事業会計,revenue,49,繰越金,01,繰越金,01,繰越金,2,2,0,2,0,0,0,2,1,4,ok,derived
2026_long_term_care_insurance_revenue_50_01_01,2026,long_term_care_insurance,介護保険事業会計,revenue,50,諸収入,01,延滞金加算金及過料,01,第１号被保険者延滞金,1283,732,-551,732,0,0,0,732,1,1,ok,derived
2026_long_term_care_insurance_revenue_50_01_03,2026,long_term_care_insurance,介護保険事業会計,revenue,50,諸収入,01,延滞金加算金及過料,03,加算金,2,2,0,2,0,0,0,2,1,2,ok,derived
2026_long_term_care_insurance_revenue_50_02_01,2026,long_term_care_insurance,介護保険事業会計,revenue,50,諸収入,02,特別区預金利子,01,特別区預金利子,1,1,0,1,0,0,0,1,1,1,ok,derived
2026_long_term_care_insurance_revenue_50_04_02,2026,long_term_care_insurance,介護保険事業会計,revenue,50,諸収入,04,雑入,02,第三者納付金,2,2,0,2,0,0,0,2,1,2,ok,derived
2026_long_term_care_insurance_revenue_50_04_03,2026,long_term_care_insurance,介護保険事業会計,revenue,50,諸収入,04,雑入,03,返納金,2,2,0,2,0,0,0,2,1,2,ok,derived
2026_long_term_care_insurance_revenue_50_04_04,2026,long_term_care_insurance,介護保険事業会計,revenue,50,諸収入,04,雑入,04,雑入,0,1,1,1,0,0,0,1,1,1,ok,derived
2026_long_term_care_insurance_revenue_50_04_05,2026,long_term_care_insurance,介護保険事業会計,revenue,50,諸収入,04,雑入,05,納付金,26660,31686,5026,31686,0,0,0,31686,1,2,ok,derived
2026_national_health_insurance_revenue_21_01_01,2026,national_health_insurance,国民健康保険事業会計,revenue,21,国民健康保険料,01,国民健康保険料,01,国民健康保険料,25964649,26829993,865344,26829993,0,0,0,26829993,12,21,ok,derived
2026_national_health_insurance_revenue_22_01_01,2026,national_health_insurance,国民健康保険事業会計,revenue,22,一部負担金,01,一部負担金,01,一部負担金,2,2,0,2,0,0,0,2,2,2,ok,derived
2026_national_health_insurance_revenue_23_01_01,2026,national_health_insurance,国民健康保険事業会計,revenue,23,使用料及手数料,01,手数料,01,総務手数料,127,140,13,140,0,0,0,140,1,1,ok,derived
2026_national_health_insurance_revenue_24_02_12,2026,national_health_insurance,国民健康保険事業会計,revenue,24,国庫支出金,02,国庫補助金,12,子ども・子育て支援事業費補助金,121017,0,-121017,0,0,0,0,0,1,1,ok_zero_amount,derived
2026_national_health_insurance_revenue_26_02_03,2026,national_health_insurance,国民健康保険事業会計,revenue,26,都支出金,02,都補助金,03,保険給付費等交付金,48451136,48961898,510762,48961898,0,0,0,48961898,2,19,ok,derived
2026_national_health_insurance_revenue_27_01_01,2026,national_health_insurance,国民健康保険事業会計,revenue,27,繰入金,01,一般会計繰入金,01,一般会計繰入金,7629247,8333112,703865,8333112,0,0,0,8333112,7,30,ok,derived
2026_national_health_insurance_revenue_28_01_02,2026,national_health_insurance,国民健康保険事業会計,revenue,28,繰越金,01,繰越金,02,その他繰越金,1,1,0,1,0,0,0,1,1,4,ok,derived
2026_national_health_insurance_revenue_29_01_01,2026,national_health_insurance,国民健康保険事業会計,revenue,29,諸収入,01,延滞金加算金及過料,01,延滞金,24282,20600,-3682,20600,0,0,0,20600,1,1,ok,derived
2026_national_health_insurance_revenue_29_01_03,2026,national_health_insurance,国民健康保険事業会計,revenue,29,諸収入,01,延滞金加算金及過料,03,加算金,1,1,0,1,0,0,0,1,1,1,ok,derived
2026_national_health_insurance_revenue_29_01_05,2026,national_health_insurance,国民健康保険事業会計,revenue,29,諸収入,01,延滞金加算金及過料,05,過料,1,1,0,1,0,0,0,1,1,1,ok,derived
2026_national_health_insurance_revenue_29_02_01,2026,national_health_insurance,国民健康保険事業会計,revenue,29,諸収入,02,特別区預金利子,01,特別区預金利子,1,1,0,1,0,0,0,1,1,1,ok,derived
2026_national_health_insurance_revenue_29_03_01,2026,national_health_insurance,国民健康保険事業会計,revenue,29,諸収入,03,雑入,01,第三者納付金,18588,18142,-446,18142,0,0,0,18142,1,1,ok,derived
2026_national_health_insurance_revenue_29_03_03,2026,national_health_insurance,国民健康保険事業会計,revenue,29,諸収入,03,雑入,03,返納金,27545,28181,636,28181,0,0,0,28181,1,1,ok,derived
2026_national_health_insurance_revenue_29_03_05,2026,national_health_insurance,国民健康保険事業会計,revenue,29,諸収入,03,雑入,05,納付金,8474,8830,356,8830,0,0,0,8830,1,2,ok,derived
2026_national_health_insurance_revenue_29_03_06,2026,national_health_insurance,国民健康保険事業会計,revenue,29,諸収入,03,雑入,06,雑入,3,3,0,3,0,0,0,3,3,3,ok,derived
2026_national_health_insurance_revenue_29_04_01,2026,national_health_insurance,国民健康保険事業会計,revenue,29,諸収入,04,受託事業収入,01,特定健康診査等受託料,5800,6000,200,6000,0,0,0,6000,1,1,ok,derived
2026_school_lunch_fee_revenue_71_01_01,2026,school_lunch_fee,学校給食費会計,revenue,71,給食費,01,給食費,01,給食費収入,475731,0,-475731,0,0,0,0,0,1,1,ok_zero_amount,derived
2026_school_lunch_fee_revenue_72_01_01,2026,school_lunch_fee,学校給食費会計,revenue,72,繰入金,01,一般会計繰入金,01,一般会計繰入金,3470906,0,-3470906,0,0,0,0,0,1,1,ok_zero_amount,derived
2026_school_lunch_fee_revenue_73_01_01,2026,school_lunch_fee,学校給食費会計,revenue,73,繰越金,01,繰越金,01,繰越金,1,0,-1,0,0,0,0,0,1,1,ok_zero_amount,derived
2026_school_lunch_fee_revenue_74_01_01,2026,school_lunch_fee,学校給食費会計,revenue,74,諸収入,01,特別区預金利子,01,特別区預金利子,1,0,-1,0,0,0,0,0,1,1,ok_zero_amount,derived
