revenue_item_key,fiscal_year,account_code,account_name,budget_side,kan_code,kan_name,kou_code,kou_name,moku_code,moku_name,previous_amount_thousand_yen,current_amount_thousand_yen,diff_amount_thousand_yen,allocated_amount_thousand_yen,unallocated_amount_thousand_yen,general_revenue_thousand_yen,specific_revenue_thousand_yen,special_account_revenue_thousand_yen,section_count,detail_count,validation_status,source_type
2026_general_revenue_13_01_03,2026,general,一般会計,revenue,13,国庫支出金,01,国庫負担金,03,教育費負担金,1994,2094,100,2094,0,0,2094,0,1,1,ok,derived
2026_general_revenue_13_02_01,2026,general,一般会計,revenue,13,国庫支出金,02,国庫補助金,01,民生費補助金,3704817,3875924,171107,3875924,0,0,3875924,0,23,182,ok,derived
2026_general_revenue_13_02_03,2026,general,一般会計,revenue,13,国庫支出金,02,国庫補助金,03,衛生費補助金,1270116,815583,-454533,815583,0,0,815583,0,13,31,ok,derived
2026_general_revenue_13_02_04,2026,general,一般会計,revenue,13,国庫支出金,02,国庫補助金,04,土木費補助金,2966816,2698765,-268051,2698765,0,0,2698765,0,10,41,ok,derived
2026_general_revenue_13_02_05,2026,general,一般会計,revenue,13,国庫支出金,02,国庫補助金,05,教育費補助金,749280,892858,143578,892858,0,0,892858,0,8,21,ok,derived
2026_general_revenue_13_02_08,2026,general,一般会計,revenue,13,国庫支出金,02,国庫補助金,08,総務費補助金,500846,931095,430249,931095,0,0,931095,0,3,9,ok,derived
2026_general_revenue_13_02_09,2026,general,一般会計,revenue,13,国庫支出金,02,国庫補助金,09,環境費補助金,0,2475,2475,2475,0,0,2475,0,1,1,ok,derived
2026_general_revenue_13_02_10,2026,general,一般会計,revenue,13,国庫支出金,02,国庫補助金,10,民生費補助金（２）,0,7515,7515,7515,0,0,7515,0,1,3,ok,derived
2026_general_revenue_13_03_01,2026,general,一般会計,revenue,13,国庫支出金,03,国庫委託金,01,民生費委託金,3512,3759,247,3759,0,0,3759,0,2,3,ok,derived
2026_general_revenue_13_03_02,2026,general,一般会計,revenue,13,国庫支出金,03,国庫委託金,02,衛生費委託金,963,1298,335,1298,0,0,1298,0,1,1,ok,derived
