program_id,budget_item_key,fiscal_year,account_code,account_name,budget_side,kan_code,kan_name,kou_code,kou_name,moku_code,moku_name,major_program_name,budget_program_name,detail_program_name,department_name,amount_thousand_yen,general_revenue_thousand_yen,allocated_revenue_thousand_yen,major_program_code,budget_program_code,detail_program_code,budget_program_group_id,source_type,source_file,source_row_number,is_zero_amount,funding_data_status,department_display_name,department_mapping_status
2026_general_expenditure_02_01_01_01_15_01,2026_general_expenditure_02_01_01,2026,general,一般会計,expenditure,02,総務費,01,総務管理費,01,一般管理費,総務事務運営費,世田谷区公報発行、区例規類集等発行,世田谷区公報発行、区例規類集等発行,総務＊区政情報課,11539,11539,0,01,15,01,2026_general_expenditure_02_01_01_01_15,official_csv,ippansaisyutu.csv,9290,false,raw_source_only,総務部 区政情報課,matched
2026_general_expenditure_02_01_01_01_17_01,2026_general_expenditure_02_01_01,2026,general,一般会計,expenditure,02,総務費,01,総務管理費,01,一般管理費,総務事務運営費,文書印刷,文書印刷,総務＊区政情報課,20263,20263,0,01,17,01,2026_general_expenditure_02_01_01_01_17,official_csv,ippansaisyutu.csv,9291,false,raw_source_only,総務部 区政情報課,matched
2026_general_expenditure_02_01_01_01_18_01,2026_general_expenditure_02_01_01,2026,general,一般会計,expenditure,02,総務費,01,総務管理費,01,一般管理費,総務事務運営費,文書、物品搬送,文書、物品搬送,総務＊区政情報課,39626,39626,0,01,18,01,2026_general_expenditure_02_01_01_01_18,official_csv,ippansaisyutu.csv,9292,false,raw_source_only,総務部 区政情報課,matched
2026_general_expenditure_02_01_01_01_19_01,2026_general_expenditure_02_01_01,2026,general,一般会計,expenditure,02,総務費,01,総務管理費,01,一般管理費,総務事務運営費,文書管理、法務業務,文書管理、法務業務,総務＊区政情報課,267780,267780,0,01,19,01,2026_general_expenditure_02_01_01_01_19,official_csv,ippansaisyutu.csv,9293,false,raw_source_only,総務部 区政情報課,matched
2026_general_expenditure_02_01_01_01_21_01,2026_general_expenditure_02_01_01,2026,general,一般会計,expenditure,02,総務費,01,総務管理費,01,一般管理費,総務事務運営費,区政情報センター運営,区政情報センター運営,総務＊区政情報課,30786,29893,893,01,21,01,2026_general_expenditure_02_01_01_01_21,official_csv,ippansaisyutu.csv,9294,false,raw_source_only,総務部 区政情報課,matched
2026_general_expenditure_02_01_01_01_23_01,2026_general_expenditure_02_01_01,2026,general,一般会計,expenditure,02,総務費,01,総務管理費,01,一般管理費,総務事務運営費,郵便管理事務,郵便管理事務,総務＊区政情報課,171977,171977,0,01,23,01,2026_general_expenditure_02_01_01_01_23,official_csv,ippansaisyutu.csv,9295,false,raw_source_only,総務部 区政情報課,matched
2026_general_expenditure_02_01_01_01_26_01,2026_general_expenditure_02_01_01,2026,general,一般会計,expenditure,02,総務費,01,総務管理費,01,一般管理費,総務事務運営費,情報公開・個人情報保護制度運営等,情報公開・個人情報保護制度運営等,総務＊区政情報課,3795,3604,191,01,26,01,2026_general_expenditure_02_01_01_01_26,official_csv,ippansaisyutu.csv,9296,false,raw_source_only,総務部 区政情報課,matched
2026_general_expenditure_02_01_01_01_27_01,2026_general_expenditure_02_01_01,2026,general,一般会計,expenditure,02,総務費,01,総務管理費,01,一般管理費,総務事務運営費,世田谷区政務活動費,世田谷区政務活動費,総務＊総務課,144000,144000,0,01,27,01,2026_general_expenditure_02_01_01_01_27,official_csv,ippansaisyutu.csv,9288,false,raw_source_only,総務部 総務課,matched
2026_general_expenditure_02_01_01_01_28_01,2026_general_expenditure_02_01_01,2026,general,一般会計,expenditure,02,総務費,01,総務管理費,01,一般管理費,総務事務運営費,私立幼稚園での未就園児の定期的な預かり事業の推進,私立幼稚園での未就園児の定期的な預かり事業の推進,子若＊子ども・若者支援課,0,0,0,01,28,01,2026_general_expenditure_02_01_01_01_28,official_csv,ippansaisyutu.csv,9778,true,raw_source_only,子ども・若者部 子ども・若者支援課,matched
2026_general_expenditure_02_01_01_01_29_01,2026_general_expenditure_02_01_01,2026,general,一般会計,expenditure,02,総務費,01,総務管理費,01,一般管理費,総務事務運営費,こども誰でも通園制度,こども誰でも通園制度,子若＊子ども・若者支援課,14782,105,14677,01,29,01,2026_general_expenditure_02_01_01_01_29,official_csv,ippansaisyutu.csv,9779,false,raw_source_only,子ども・若者部 子ども・若者支援課,matched
2026_general_expenditure_02_01_01_02_01_01,2026_general_expenditure_02_01_01,2026,general,一般会計,expenditure,02,総務費,01,総務管理費,01,一般管理費,庁舎維持管理費,庁舎維持管理,庁舎維持管理,庁舎＊庁舎管理担当課,1549914,1507192,42722,02,01,01,2026_general_expenditure_02_01_01_02_01,official_csv,ippansaisyutu.csv,9325,false,raw_source_only,庁舎整備担当部 庁舎管理担当課,matched
2026_general_expenditure_02_01_01_02_02_01,2026_general_expenditure_02_01_01,2026,general,一般会計,expenditure,02,総務費,01,総務管理費,01,一般管理費,庁舎維持管理費,庁舎等建設等基金積立金,庁舎等建設等基金積立金,総務＊総務課,161031,0,161031,02,02,01,2026_general_expenditure_02_01_01_02_02,official_csv,ippansaisyutu.csv,9289,false,raw_source_only,総務部 総務課,matched
2026_general_expenditure_02_01_01_02_04_01,2026_general_expenditure_02_01_01,2026,general,一般会計,expenditure,02,総務費,01,総務管理費,01,一般管理費,庁舎維持管理費,分庁舎維持管理,分庁舎維持管理,庁舎＊庁舎管理担当課,388395,345629,42766,02,04,01,2026_general_expenditure_02_01_01_02_04,official_csv,ippansaisyutu.csv,9326,false,raw_source_only,庁舎整備担当部 庁舎管理担当課,matched
2026_general_expenditure_02_01_01_02_09_01,2026_general_expenditure_02_01_01,2026,general,一般会計,expenditure,02,総務費,01,総務管理費,01,一般管理費,庁舎維持管理費,庁舎計画事務,庁舎計画事務,庁舎＊庁舎管理担当課,1198843,1197745,1098,02,09,01,2026_general_expenditure_02_01_01_02_09,official_csv,ippansaisyutu.csv,9327,false,raw_source_only,庁舎整備担当部 庁舎管理担当課,matched
2026_general_expenditure_02_01_01_02_13_01,2026_general_expenditure_02_01_01,2026,general,一般会計,expenditure,02,総務費,01,総務管理費,01,一般管理費,庁舎維持管理費,本庁舎等整備工事,本庁舎等整備工事,庁舎＊庁舎管理担当課,7479718,120858,7358860,02,13,01,2026_general_expenditure_02_01_01_02_13,official_csv,ippansaisyutu.csv,9328,false,raw_source_only,庁舎整備担当部 庁舎管理担当課,matched
2026_general_expenditure_02_01_01_03_01_01,2026_general_expenditure_02_01_01,2026,general,一般会計,expenditure,02,総務費,01,総務管理費,01,一般管理費,人事事務運営費,職員採用等事務,職員採用等事務,総務＊人事課,407080,407080,0,03,01,01,2026_general_expenditure_02_01_01_03_01,official_csv,ippansaisyutu.csv,9297,false,raw_source_only,総務部 人事課,matched
